Number	Name	Source	RecordIndex
324	Aristo TV	map-SateD	323
325	R9 Oesterreich HD	map-SateD	324
326	krone.tv	map-SateD	325
327	oe24.TV HD	map-SateD	326
328	TV1 OOE NEU	map-SateD	327
329	Stimmungsgarten TV	map-SateD	328
330	Melodie TV NEU	map-SateD	329
331	TV Trwam	map-SateD	330
332	.	map-SateD	331
333	a.tv HD	map-SateD	332
334	münchen.tv HD	map-SateD	333
335	rfo Regional Fernsehen Oberbayern HD	map-SateD	334
336	a.tv HD .	map-SateD	335
337	tv.ingolstadt HD	map-SateD	336
338	Lokal-TV-Portal HD	map-SateD	337
339	NIEDERBAYERN TV HD	map-SateD	338
340	OTVA HD	map-SateD	339
341	Franken Plus HD	map-SateD	340
342	WOTSCH	map-SateD	342
343	DW English HD	map-SateD	343
344	TVMonaco	map-SateD	344
345	Cubavision Internacional	map-SateD	345
346	CNN Int.	map-SateD	346
347	BFM TV	map-SateD	347
348	TV5 MONDE	map-SateD	348
349	LCI	map-SateD	349
350	CNEWS	map-SateD	350
351	RTLZWEI	map-SateD	351
352	DATASYSTEM	map-SateD	352
353	.	map-SateD	353
354	.	map-SateD	354
355	.	map-SateD	355
356	PANNEAU ARRET G5	map-SateD	356
357	Service 13101	map-SateD	357
358	Service 13111	map-SateD	358
359	Zwei Music Television	map-SateD	359
360	CNBC HD	map-SateD	360
361	HGTV HD	map-SateD	361
362	A LA UNE	map-SateD	362
363	BFM BUSINESS	map-SateD	363
364	3sat SD	map-SateD	104
